appid,game,country_code,country,collected_at,currency,price_local,is_free,on_sale,discount_pct,available
2050650,Resident Evil 4 Remake,au,Australia,2026-05-05T19:47:02.021573,AUD,59.95,False,False,0,True
2050650,Resident Evil 4 Remake,tr,Turkey,2026-05-05T19:47:03.861045,USD,29.99,False,False,0,True
2050650,Resident Evil 4 Remake,in,India,2026-05-05T19:47:05.916037,INR,2497.0,False,False,0,True
1817070,Spider-Man Remastered,us,United States,2026-05-05T19:47:07.903186,USD,59.99,False,False,0,True
1817070,Spider-Man Remastered,cn,China,2026-05-05T19:47:09.790055,CNY,414.0,False,False,0,True
1817070,Spider-Man Remastered,ru,Russia,2026-05-05T19:47:11.979304,RUB,,False,False,0,False
1817070,Spider-Man Remastered,de,Germany,2026-05-05T19:47:13.704358,EUR,59.99,False,False,0,True
1817070,Spider-Man Remastered,gb,United Kingdom,2026-05-05T19:47:15.466664,GBP,49.99,False,False,0,True
1817070,Spider-Man Remastered,jp,Japan,2026-05-05T19:47:17.162681,JPY,7590.0,False,False,0,True
1817070,Spider-Man Remastered,br,Brazil,2026-05-05T19:47:19.076095,BRL,249.9,False,False,0,True
1817070,Spider-Man Remastered,au,Australia,2026-05-05T19:47:20.982121,AUD,94.95,False,False,0,True
1817070,Spider-Man Remastered,tr,Turkey,2026-05-05T19:47:22.656878,USD,59.99,False,False,0,True
1817070,Spider-Man Remastered,in,India,2026-05-05T19:47:24.470591,INR,3999.0,False,False,0,True
1593500,God of War,us,United States,2026-05-05T19:47:26.393441,USD,49.99,False,False,0,True
1593500,God of War,cn,China,2026-05-05T19:47:28.325179,CNY,345.0,False,False,0,True
1593500,God of War,ru,Russia,2026-05-05T19:47:30.254333,RUB,,False,False,0,False
1593500,God of War,de,Germany,2026-05-05T19:47:32.203503,EUR,49.99,False,False,0,True
1593500,God of War,gb,United Kingdom,2026-05-05T19:47:33.965208,GBP,39.99,False,False,0,True
1593500,God of War,jp,Japan,2026-05-05T19:47:35.695615,JPY,6490.0,False,False,0,True
1593500,God of War,br,Brazil,2026-05-05T19:47:37.425139,BRL,199.9,False,False,0,True
1593500,God of War,au,Australia,2026-05-05T19:47:39.123151,AUD,74.95,False,False,0,True
1593500,God of War,tr,Turkey,2026-05-05T19:47:40.828449,USD,49.99,False,False,0,True
1593500,God of War,in,India,2026-05-05T19:47:42.546819,INR,3299.0,False,False,0,True
1145360,Hades,us,United States,2026-05-05T19:47:44.458331,USD,24.99,False,False,0,True
1145360,Hades,cn,China,2026-05-05T19:47:46.504304,CNY,92.0,False,False,0,True
1145360,Hades,ru,Russia,2026-05-05T19:47:48.547246,RUB,880.0,False,False,0,True
1145360,Hades,de,Germany,2026-05-05T19:47:50.651573,EUR,24.5,False,False,0,True
1145360,Hades,gb,United Kingdom,2026-05-05T19:47:52.801955,GBP,20.99,False,False,0,True
1145360,Hades,jp,Japan,2026-05-05T19:47:54.565504,JPY,2800.0,False,False,0,True
1145360,Hades,br,Brazil,2026-05-05T19:47:56.296737,BRL,73.99,False,False,0,True
1145360,Hades,au,Australia,2026-05-05T19:47:58.095761,AUD,36.5,False,False,0,True
1145360,Hades,tr,Turkey,2026-05-05T19:47:59.790226,USD,8.25,False,False,0,True
1145360,Hades,in,India,2026-05-05T19:48:01.506139,INR,1100.0,False,False,0,True
413150,Stardew Valley,us,United States,2026-05-05T19:48:03.307546,USD,14.99,False,False,0,True
413150,Stardew Valley,cn,China,2026-05-05T19:48:05.204189,CNY,48.0,False,False,0,True
413150,Stardew Valley,ru,Russia,2026-05-05T19:48:07.283640,RUB,299.0,False,False,0,True
